SiteID	LatDD	LonDD	StreamName	Source	State	UBA_ha	Aspect_deg	Slope_per	Elev_m	Notes
1F001	38.824123	-78.203308	Land's Run	Williams	VA	350.7	242.1	7.5	359.7	NA
1F003	38.703098	-78.268295	Piney River	Williams	VA	1221.9	94.8	15.5	366.3	Post-1995 location
1F003_1	38.701545	-78.263362	Piney River	Williams	VA	1266.4	351.6	1.3	346	Pre-1995 location
1F004	38.704247	-78.269524	Piney River	Williams	VA	1212.3	93.5	12.9	374.5	NA
1F005	38.710518	-78.276047	Piney River	Williams	VA	986.6	169.8	3	408.3	NA
1F006	38.715488	-78.381432	Jeremy's Run	Williams	VA	2199.6	0.9	4.3	285.7	NA
1F007	38.712097	-78.370667	Jeremy's Run	Williams	VA	2029.7	359.2	6.5	314.1	NA
1F008	38.711433	-78.359367	Jeremy's Run	Williams	VA	1827.2	230.7	4.9	341	NA
1F030	38.694958	-78.279617	Thornton River, NF	Williams	VA	1834.4	76.8	2.4	352.3	NA
1F031	38.69672	-78.283089	Thornton River, NF	Williams	VA	1785	236.1	1.7	357.2	NA
1F056	38.80624	-78.154335	Bolton Branch	Williams	VA	372.2	87.4	5.4	353.2	NA
1F057	38.80685	-78.157211	Bolton Branch	Williams	VA	336.4	110.9	10.9	375.6	NA
1F058	38.806801	-78.161514	Bolton Branch	Williams	VA	299.7	147.8	15.6	400.5	NA
1F116	38.714603	-78.343094	Jeremy's Run	Williams	VA	1295.6	143	4.3	382.3	NA
1F117	38.726986	-78.336281	Jeremy's Run	Williams	VA	947.1	147.4	7.7	445.3	NA
1F118	38.74844	-78.3246	Jeremy's Run	Williams	VA	560.5	300.8	2.7	553.8	NA
1F132	38.789494	-78.319206	Overall Run	Williams	VA	675.8	231.3	3.1	289.2	NA
1F133	38.825958	-78.195274	Land's Run	Williams	VA	228.5	273.3	2.4	413.1	NA
1F137	38.71925	-78.280838	Piney River	Williams	VA	807.2	207.5	4.9	453.5	NA
1F138	38.72797	-78.29155	Piney River	Williams	VA	578	126	17.5	573.7	NA
1F145	38.711964	-78.277336	Piney River	Williams	VA	944.5	230.4	2.7	414.1	NA
1F218	38.685442	-78.276109	Butterwood Branch	Williams	VA	289.5	85.9	7.9	383.4	NA
1F219	38.749464	-78.230386	Gravel Springs	Williams	VA	175.7	145.5	15.5	398.9	NA
1F225	38.777551	-78.255209	Gooney Run	Williams	VA	298	309.9	10.8	419.8	NA
1F226	38.783093	-78.272288	Greasy Run	Williams	VA	180.2	95.5	6.2	407.2	NA
1F233	38.772518	-78.162413	Jordan River	Williams	VA	411.5	185	0.6	340.2	NA
1F234	38.734845	-78.259727	Keyser Run	Williams	VA	286.7	196.6	2.4	401.2	NA
1FVA1	38.723675	-78.336838	Jeremy's Run	Williams	VA	1022.9	199.8	4.9	429.4	NA
1FVA2	38.703426	-78.291275	Thornton River, NF	Williams	VA	1116.8	112.5	3.4	383.2	NA
1FVA3	38.708332	-78.3004	Thornton River, NF	Williams	VA	931.1	102.4	12.4	429.6	NA
2F009	38.54044	-78.349388	Whiteoak Canyon Run	Williams	VA	1404.9	166.1	6	341	NA
2F010	38.545456	-78.351936	Whiteoak Canyon Run	Williams	VA	1328.4	140.1	10.3	370	NA
2F011	38.548187	-78.353409	Whiteoak Canyon Run	Williams	VA	1225.6	60.3	2.1	388.9	NA
2F015	38.515408	-78.366425	Rose River	Williams	VA	2366.7	8.8	1.9	340.5	NA
2F016	38.511337	-78.384499	Rose River	Williams	VA	1870.5	106.2	4.6	414.1	NA
2F017	38.525082	-78.405914	Rose River	Williams	VA	975.4	181.3	7.3	640.1	NA
2F029	38.477791	-78.481567	Naked Creek	Williams	VA	913.5	259.1	5.2	544.5	NA
2F032	38.571072	-78.300156	Brokenback Run	Williams	VA	1169.4	38.6	12.9	312.9	NA
2F033	38.571148	-78.306679	Brokenback Run	Williams	VA	917.3	127.5	4.2	350.5	NA
2F034	38.567417	-78.317024	Brokenback Run	Williams	VA	743.3	93.1	27.1	429.2	NA
2F035	38.653763	-78.273354	Thornton River, SF	Williams	VA	1658.4	61.7	1.2	292.3	NA
2F036	38.65733	-78.281921	Thornton River, SF	Williams	VA	950.5	106.2	7	322.3	NA
2F037	38.659653	-78.285255	Thornton River, SF	Williams	VA	908	125.3	1.6	339.2	NA
2F038	38.577385	-78.299622	Hughes River	Williams	VA	2542.5	66.1	10.9	291.5	NA
2F039	38.587368	-78.313026	Hughes River	Williams	VA	2142.7	71.4	3.1	371.1	NA
2F040	38.591686	-78.31675	Hughes River	Williams	VA	1348.9	94.9	3.1	401.7	NA
2F047	38.406616	-78.457871	Pocosin Hollow Run	Williams	VA	734.9	69.5	4.2	472.5	NA
2F048	38.412197	-78.469063	Pocosin Hollow Run	Williams	VA	548	189.8	4	605.7	NA
2F049	38.591713	-78.315613	Hannah Run	Williams	VA	417.3	213	2.4	400.7	NA
2F050	38.5952	-78.316269	Hannah Run	Williams	VA	390.6	168.2	8.6	425.4	NA
2F052	38.63081	-78.27269	Hazel River	Williams	VA	862.3	127.4	10	450.4	NA
2F053	38.634148	-78.284332	Hazel River	Williams	VA	790.1	64.6	12.2	540.8	NA
2F054	38.526409	-78.409737	Hogcamp Branch	Williams	VA	432.3	117.3	10.2	670.5	NA
2F055	38.522873	-78.420143	Hogcamp Branch	Williams	VA	296.8	11.2	6	796.5	NA
2F059	38.532753	-78.298348	Ragged Run	Williams	VA	261.8	212.7	30.8	340.5	NA
2F060	38.537468	-78.305489	Ragged Run	Williams	VA	222.9	39.7	12.3	485	NA
2F062	38.536884	-78.358925	Cedar Run	Williams	VA	550.4	60.9	2.3	410.1	NA
2F063	38.566357	-78.395374	Cedar Run	Williams	VA	130.8	278.1	33	634	NA
2F064	38.543713	-78.371338	Cedar Run	Williams	VA	362.8	83.7	7.3	668.2	NA
2F065	38.54063	-78.365433	Cedar Run	Williams	VA	439.7	125.6	40.7	526.4	NA
2F067	38.594345	-78.27433	Broad Hollow Run	Williams	VA	237	44.1	13.4	360.1	NA
2F068	38.596184	-78.277657	Broad Hollow Run	Williams	VA	222.9	191.5	11.7	399.4	NA
2F069	38.378079	-78.494988	South River	Williams	VA	478.5	69.2	22.6	540.8	NA
2F071	38.615448	-78.261604	Hazel River	Williams	VA	1336	90.1	13.3	320.4	NA
2F072	38.444897	-78.371658	Staunton River	Williams	VA	1062.4	82.9	7.9	314.5	Post-1995 location
2F072_1	38.445006	-78.371214	Staunton River	Williams	VA	1063.8	115.4	8.8	310.6	Pre-1995 location
2F073	38.450577	-78.37944	Staunton River	Williams	VA	773.7	143.3	5.9	410.7	NA
2F074	38.456242	-78.380447	Staunton River	Williams	VA	731.2	84.7	7.7	460.8	NA
2F075	38.458592	-78.398712	Staunton River	Williams	VA	497.1	29.1	9.5	619.2	NA
2F076	38.462627	-78.409905	Staunton River	Williams	VA	242.3	107.7	11.5	750.7	NA
2F089	38.625134	-78.268295	Hazel River	Williams	VA	1003	95.6	11.5	410.8	NA
2F090	38.630646	-78.294251	Hazel River	Williams	VA	274.8	332.3	2	668	NA
2F091	38.46695	-78.382866	Rapidan River	Williams	VA	2017.2	77.9	14.1	482	NA
2F092	38.453423	-78.368324	Rapidan River	Williams	VA	2343.7	92.4	10.7	340.7	NA
2F093	38.441162	-78.36792	Rapidan River	Williams	VA	3624	244	1.9	285	NA
2F094	38.665764	-78.375679	Pass Run	Williams	VA	1147.5	353.1	3.7	324.7	NA
